"","unit.class","x","y","neurons","sigma1","sigma2","sigma3","sigma4","sigma5"
"212",25,4,4,5,0.0244545958441205,0.0404378551482356,0.0404378869439241,0.0404379836114783,0.0265288267782898
"213",25,4,4,10,0.0267122363988663,0.0259950751498151,0.0267129135201277,0.0255316146128141,0.0404378905686906
"214",25,4,4,30,0.0238507005285747,0.0244294609616439,0.0245016133993589,0.023931242074594,0.0404317938414795
"215",25,4,4,50,0.0266750650684401,0.026623401522401,0.0264147058445801,0.0243194655096903,0.0249525910908425
"216",25,4,4,70,0.0249677962309011,0.0233071840481228,0.0241914220520372,0.026827878522782,0.0241835782870228
"217",25,4,4,90,0.0234798428235146,0.0236497997497275,0.0248715643011868,0.0241964848241173,0.0248678525683644
"218",15,1,3,5,0.0277112457264607,0.0452223598644947,0.0452223598644947,0.0277641472405506,0.0452223598644947
"219",15,1,3,10,0.0270991218990142,0.0452224057287041,0.0280605581571948,0.0270799632308687,0.0272561993994159
"220",15,1,3,30,0.0267940260577298,0.0272780084824892,0.0271611532031038,0.0257727328387281,0.0264153278141436
"221",15,1,3,50,0.0273172214648335,0.0274995355004587,0.0267615513676715,0.0280978382880207,0.0280296461598018
"222",15,1,3,70,0.0275886931476999,0.0274667094095053,0.0263253534911253,0.0273868451855322,0.0271508636262554
"223",15,1,3,90,0.0274714073574481,0.0276758517490113,0.0270252995841383,0.0272829035145514,0.0275584681473336
"224",8,1,2,5,0.0466918085393324,0.057179464542696,0.057179464542696,0.0571735135647263,0.0571794939139759
"225",8,1,2,10,0.0466335862814345,0.0459616185177596,0.0473137676643421,0.045346854089273,0.0443276992678665
"226",8,1,2,30,0.0439721286187018,0.0433542697961143,0.0446144468993009,0.0571805250063806,0.0448612321292389
"227",8,1,2,50,0.0422808236387873,0.0417105052662287,0.0411437773017844,0.0466295576444112,0.0401441674191214
"228",8,1,2,70,0.0439118031162272,0.0431134955596921,0.0461945242460355,0.04399001565999,0.0416365844380659
"229",8,1,2,90,0.0416256016740812,0.0424156264427911,0.0472702343024271,0.0437924429079193,0.0414432932053589
"230",43,1,7,5,0.0208676688305614,0.0395992499380223,0.0395974782707393,0.0212105817387706,0.0210891156180486
"231",43,1,7,10,0.0395981684922117,0.0221738225079791,0.0213251636022878,0.0212350151869526,0.0395372109401732
"232",43,1,7,30,0.0217077486945853,0.0207329033001416,0.0210453296054433,0.0186258091900931,0.0194907530710201
"233",43,1,7,50,0.0187263236323605,0.0222540070375746,0.0215724468977171,0.0212253796109446,0.020683712388259
"234",43,1,7,70,0.0200850627789525,0.0189409350106404,0.020513444784217,0.0210998637598398,0.0183225991765649
